GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bitcoinj,org.bitcoinj.params,Networks,3,60,1,5,1,18,2,7,1,5
bitcoinj,org.bitcoinj.params,RegTestParams,37,42,2,2,11,14,4,4,3,3
bitcoinj,org.bitcoinj.params,AbstractBitcoinNetParams,46,218,9,17,8,46,11,14,3,9
bitcoinj,org.bitcoinj.params,MainNetParams,0,1477,0,2,0,38,0,4,0,3
bitcoinj,org.bitcoinj.params,TestNet3Params,92,134,16,2,18,32,9,5,1,4
bitcoinj,org.bitcoinj.params,TestNet2Params,2,100,1,1,1,29,2,2,1,2
bitcoinj,org.bitcoinj.params,UnitTestParams,2,96,0,2,1,27,1,3,1,2
bitcoinj,org.bitcoinj.params,QtumMainNetParams,1469,0,2,0,38,0,4,0,3,0
bitcoinj,org.bitcoinj.core.listeners,AbstractPeerDataEventListener,4,5,0,0,2,3,2,3,2,3
bitcoinj,org.bitcoinj.core.listeners,AbstractPeerEventListener,13,0,0,0,9,0,9,0,9,0
bitcoinj,org.bitcoinj.core.listeners,AbstractBlockChainListener,8,0,0,0,5,0,5,0,5,0
bitcoinj,org.bitcoinj.core.listeners,AbstractPeerConnectionEventListener,3,3,0,0,3,1,3,1,3,1
bitcoinj,org.bitcoinj.core.listeners,DownloadProgressTracker,168,0,20,0,40,0,19,0,9,0
bitcoinj,org.bitcoinj.signers,TransactionSigner.ProposedTransaction,0,11,0,0,0,4,0,1,0,1
bitcoinj,org.bitcoinj.signers,CustomTransactionSigner,27,94,3,5,8,22,3,5,0,4
bitcoinj,org.bitcoinj.signers,LocalTransactionSigner,9,124,0,8,4,31,0,8,0,4
bitcoinj,org.bitcoinj.signers,CustomTransactionSigner.SignatureAndKey,0,12,0,0,0,4,0,1,0,1
bitcoinj,org.bitcoinj.signers,StatelessTransactionSigner,4,3,0,0,2,1,2,1,2,1
bitcoinj,org.bitcoinj.signers,TransactionSigner.MissingSignatureException,0,3,0,0,0,1,0,1,0,1
bitcoinj,org.bitcoinj.signers,MissingSigResolutionSigner,8,141,2,24,3,32,4,14,2,3
bitcoinj,org.bitcoinj.wallet.listeners,AbstractWalletEventListener,25,0,0,0,16,0,9,0,9,0
bitcoinj,org.bitcoinj.wallet.listeners,AbstractKeyChainEventListener,1,3,0,0,1,1,1,1,1,1
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException,0,8,0,0,0,4,0,2,0,2
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocol,118,418,16,36,27,98,17,21,2,10
bitcoinj,org.bitcoinj.protocols.payments,PaymentSession,205,324,20,38,43,64,30,27,13,15
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocol.Ack,9,0,0,0,4,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidPaymentURL,8,0,0,0,4,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidPaymentRequestURL,8,0,0,0,4,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidVersion,4,0,0,0,2,0,1,0,1,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.PkiVerificationException,8,7,0,0,4,3,2,1,2,1
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocol.PkiVerificationData,26,19,0,0,8,7,1,1,1,1
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.Expired,0,4,0,0,0,2,0,1,0,1
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidPkiType,4,0,0,0,2,0,1,0,1,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidPkiData,8,0,0,0,4,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentSession.new Callable() {...},65,0,0,0,15,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentSession.new Callable() {...},38,0,0,0,6,0,2,0,2,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidOutputs,4,0,0,0,2,0,1,0,1,0
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocolException.InvalidNetwork,0,4,0,0,0,2,0,1,0,1
bitcoinj,org.bitcoinj.protocols.payments,PaymentProtocol.Output,0,9,0,0,0,4,0,1,0,1
bitcoinj,org.bitcoinj.uri,RequiredFieldValidationException,5,4,0,0,2,2,1,1,1,1
bitcoinj,org.bitcoinj.uri,BitcoinURIParseException,0,9,0,0,0,4,0,2,0,2
bitcoinj,org.bitcoinj.uri,BitcoinURI,41,557,4,58,8,113,4,42,0,15
bitcoinj,org.bitcoinj.uri,OptionalFieldValidationException,4,5,0,0,2,2,1,1,1,1
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelClientState,39,372,5,19,11,95,5,25,0,18
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelServerListener.ServerHandler,0,42,0,0,0,6,0,1,0,1
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelV2ServerState.new FutureCallback() {...},0,39,0,0,0,9,0,3,0,3
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelClient.InitStep,9,89,0,0,0,9,2,2,2,2
bitcoinj,org.bitcoinj.protocols.channels,ClientState.StoredClientPaymentChannel.new AbstractParser() {...},0,10,0,0,0,2,0,2,0,2
bitcoinj,org.bitcoinj.protocols.channels,StoredClientChannel,118,50,5,2,7,16,4,3,1,2
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelClient,147,1001,27,74,25,255,30,43,3,15
bitcoinj,org.bitcoinj.protocols.channels,StoredPaymentChannelServerStates,163,392,12,20,26,93,15,18,4,13
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelCloseException,0,20,0,0,0,5,0,3,0,3
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelClientConnection,33,67,0,0,8,13,4,5,4,5
bitcoinj,org.bitcoinj.protocols.channels,ServerState.StoredServerPaymentChannels.Builder,513,98,67,7,137,29,65,8,29,7
bitcoinj,org.bitcoinj.protocols.channels,PaymentIncrementAck,0,15,0,0,0,6,0,3,0,3
bitcoinj,org.bitcoinj.protocols.channels,ClientState.StoredClientPaymentChannels.new AbstractParser() {...},0,10,0,0,0,2,0,2,0,2
bitcoinj,org.bitcoinj.protocols.channels,PaymentChannelV1ClientState,16,490,8,20,3,104,8,25,0,19
bitcoinj,org.bitcoinj.protocols.channels,ServerState.StoredServerPaymentChannels.new AbstractParser() {...},0,10,0,0,0,2,0,2,0,2
